date,time,DOY,TimeStamp,CH4
4/10/2017,0:00,100,4/10/2017 0:00,NaN
4/10/2017,0:30,100.02,4/10/2017 0:30,NaN
4/10/2017,1:00,100.041,4/10/2017 1:00,NaN
4/10/2017,1:30,100.062,4/10/2017 1:30,NaN
4/10/2017,2:00,100.083,4/10/2017 2:00,NaN
4/10/2017,2:30,100.104,4/10/2017 2:30,NaN
4/10/2017,3:00,100.124,4/10/2017 3:00,2.693060096
4/10/2017,3:30,100.145,4/10/2017 3:30,NaN
4/10/2017,4:00,100.166,4/10/2017 4:00,1.281066869
4/10/2017,4:30,100.187,4/10/2017 4:30,NaN
4/10/2017,5:00,100.208,4/10/2017 5:00,23.26922717
4/10/2017,5:30,100.229,4/10/2017 5:30,13.99617179
4/10/2017,6:00,100.249,4/10/2017 6:00,NaN
4/10/2017,6:30,100.27,4/10/2017 6:30,NaN
4/10/2017,7:00,100.291,4/10/2017 7:00,NaN
4/10/2017,7:30,100.312,4/10/2017 7:30,NaN
4/10/2017,8:00,100.333,4/10/2017 8:00,NaN
4/10/2017,8:30,100.354,4/10/2017 8:30,NaN
4/10/2017,9:00,100.374,4/10/2017 9:00,NaN
4/10/2017,9:30,100.395,4/10/2017 9:30,NaN
4/10/2017,10:00,100.416,4/10/2017 10:00,NaN
4/10/2017,10:30,100.437,4/10/2017 10:30,NaN
4/10/2017,11:00,100.458,4/10/2017 11:00,NaN
4/10/2017,11:30,100.479,4/10/2017 11:30,NaN
4/10/2017,12:00,100.499,4/10/2017 12:00,NaN
4/10/2017,12:30,100.52,4/10/2017 12:30,NaN
4/10/2017,13:00,100.541,4/10/2017 13:00,NaN
4/10/2017,13:30,100.562,4/10/2017 13:30,NaN
4/10/2017,14:00,100.583,4/10/2017 14:00,8.394304147
4/10/2017,14:30,100.604,4/10/2017 14:30,NaN
4/10/2017,15:00,100.624,4/10/2017 15:00,NaN
4/10/2017,15:30,100.645,4/10/2017 15:30,NaN
4/10/2017,16:00,100.666,4/10/2017 16:00,NaN
4/10/2017,16:30,100.687,4/10/2017 16:30,NaN
4/10/2017,17:00,100.708,4/10/2017 17:00,NaN
4/10/2017,17:30,100.729,4/10/2017 17:30,NaN
4/10/2017,18:00,100.749,4/10/2017 18:00,NaN
4/10/2017,18:30,100.77,4/10/2017 18:30,NaN
4/10/2017,19:00,100.791,4/10/2017 19:00,NaN
4/10/2017,19:30,100.812,4/10/2017 19:30,NaN
4/10/2017,20:00,100.833,4/10/2017 20:00,NaN
4/10/2017,20:30,100.854,4/10/2017 20:30,NaN
4/10/2017,21:00,100.874,4/10/2017 21:00,NaN
4/10/2017,21:30,100.895,4/10/2017 21:30,NaN
4/10/2017,22:00,100.916,4/10/2017 22:00,NaN
4/10/2017,22:30,100.937,4/10/2017 22:30,NaN
4/10/2017,23:00,100.958,4/10/2017 23:00,NaN
4/10/2017,23:30,100.979,4/10/2017 23:30,NaN
4/11/2017,0:00,101,4/11/2017 0:00,NaN
